quem seria investigado pela CPI?	O Padre Júlio Lancellotti
Qual era o objeto da investigação?	O Padre Lancellotti
quem é o padre?	Júlio Lancellotti
Júlio Lancellotti é um político?	Não, ele é um padre
qual o partido de Rubinho?	União Brasil
Rubinho é um deputado?	Não, ele é um vereador.
Rubinho Nunes é um senador?	Não, ele é um vereador.
Quem é o autor do pedido da CPI?	Rubinho Nunes
qual o motivo do revés da abertura da CPI?	A divulgação do nomes dos vereadores que assinaram o documento.
Quantos irão retirar as assinaturas?	4
quantos vereadores pretendem retirar as assinaturas para a abertura da CPI?	quatro
Para sair do papel o  que é preciso para abrir a CPI?	Ser pautada pelos líderes e aprovada pela maioria em plenário.
De onde é o acontecido?	Na cidade de São Paulo
de qual cidade é o texto?	O texto trata da Câmara Municipal da cidade de São Paulo
quando aconteceu o revés?	Na quinta-feira dia 4.
A CPI será aberta?	É improvável, porque a divulgação dos nomes retirou o apoio necessário para abertura da CPI.
Rubinho Nunes é um padre?	Não, ele é um vereador
Quem não atendeu a reportagem para comentar o caso?	O Vereador Rubinho Nunes
liste os nomes desse texto	Júlio Lancellotti e Rubinho Nunes
o que é CPI?	Comissão Parlamentar de Inquérito
de um título para esse texto	CPI para investigar padre Júlio Lancellotti não vingará
preciso de um título para esse texto	CPI para investigar padre Júlio poderá não ser instalada
