a descrição se refere a oque?	a um Kit lâmpada do farol
a descrição se refere a oque?	Kit lâmpada do farol - Osram - H7 12V 55W - Cool Blue Intense Next Gen - 5000K - kit - 64210CBN
do que o texto fala?	de um Kit lâmpada do farol
do que o texto fala?	Kit lâmpada do farol - Osram - H7 12V 55W - Cool Blue Intense Next Gen - 5000K - kit - 64210CBN
do que o texto fala?	Lâmpadas para farol de veículos
a descrição se refere a oque?	Lâmpadas para farol de veículos
qual o conteúdo da embalagem?	02 Lâmpadas
qual o conteúdo da embalagem?	02 Lâmpadas H7 Osram Cool Blue Intense Next Gen
o garantia é de?	3 meses
tem garantia?	sim, é de 3 meses
qual a garantia?	de 3 meses
qual o período de garantia?	3 meses
o valor indicado é do kit todo?	sim
o valor é de cada lâmpada?	não
qual a potência?	55W
qual o soquete?	PX26d
qual a tensão?	12V
quantos Lúmens?	1500 lm
qual a temperatura da cor?	5000K
a lâmpada é certificada?	sim, pelo INMETRO
a lâmpada é certificada?	sim
a lâmpada é certificada pelo INMETRO?	sim
é aplicada como farol alto?	sim
é aplicada com farol baixo?	sim
serve para farol alto?	sim
serve para farol baixo?	sim
é melhor que uma lâmpada padrão?	sim
ilumina mais que uma lâmpada padrão?	sim
quanto ilumina mais que uma lâmpada padrão?	até 100%
a lâmpada é super branca?	sim
a luz é branca azulada?	sim
a luz é negra?	não
a luz é ultra-violeta?	não
a H7 Osram Cool Blue é melhor que lâmpadas halógenas?	sim
a H7 Osram Cool Blue é superior que lâmpadas halógenas?	sim
a H7 Osram Cool Blue é pior que lâmpadas halógenas?	não
a H7 Osram Cool Blue é igual que lâmpadas halógenas?	não
a H7 Osram Cool Blue é uma lâmpada para veículos?	sim
a H7 Osram Cool Blue é feita para farol de veículos?	sim
a H7 Osram Cool Blue é 12v?	sim
a H7 Osram Cool Blue é 55W?	sim
a H7 Osram Cool Blue serve para um Audi A3 1.6 1999, 2000, 2001, 2002, 2003, 2004?	sim
a H7 Osram Cool Blue serve para um Audi A3 1.6 1999?	sim
a H7 Osram Cool Blue serve para um Chevrolet Agile? sim
a H7 Osram Cool Blue serve para um Chevrolet Astra Hatch?	sim
a H7 Osram Cool Blue serve para um Chevrolet Astra Sedan?	sim
a H7 Osram Cool Blue serve para um Chevrolet Blazer?	sim
a H7 Osram Cool Blue serve para um Chevrolet Captiva?	sim
qual o código do produto?	64210CBN
64210CBN é o código da H7 Osram Cool Blue?	sim
a lâmpada é xeon?	não, apenas parece ser uma xeon
H7 Osram Cool Blue é xeon?	não, apenas parece ser uma xeon
o produto do texto é xeon?	não, apenas parece ser uma xeon
porque é uma vantagem financeira comprar uma H7 Osram Cool Blue?	porque se parece com uma lâmpada xeon que é mais cara.
Escreva uma descrição para o produto Kit lâmpada do farol - Osram - H7 12V 55W - Cool Blue Intense Next Gen - 5000K - kit - 64210CBN	<|answer|>
preciso escrever informações para consumidores sobre o produto Kit lâmpada do farol - Osram - H7 12V 55W - Cool Blue Intense Next Gen - 5000K - kit - 64210CBN	<|answer|>
meu site precisa fornecer informações para Kit lâmpada do farol - Osram - H7 12V 55W - Cool Blue Intense Next Gen - 5000K - kit - 64210CBN	<|answer|>
