o texto é uma opnião pessoal?	sim
o texto é jornalistico?	não
o texto é publicitário?	não
o texto é da internet?	sim
qual o nome do autor do texto?	não tem essa informação
qual o autor do texto?	não tem autoria
qual o nome do autor do texto?	não tem autoria
qual o autor do texto?	não tem essa informação
o autor é conhecido?	não
o texto fala sobre depressão?	sim
qual o assunto principal do texto?	depressão e outros problemas psicológicos
qual o resultado do fim do estado confissional?	houve um aumento e uma agravamento dos quadros de depressão e problemas psicológicos
qual o resultado do fim do estado confissional?	aumento dos casos de depressão
qual o resultado do fim do estado confissional?	a substituição de um padre por um psicólogo
qual o resultado do fim do estado confissional?	a substituição de um padre por um psicanalista
segundo o autor, o que as pessoas precisam?	de um guia na vida
segundo o autor, depressão sempre existiu?	sim
segundo o autor, depressão e problemas psicológicos sempre existiram?	sim
depressão e problemas psicológicos sempre existiram?	segundo o autor desconhecido do texto sim.
o autor do texto tem certeza do que diz?	não
o estado confissional acabou quando?	no final da primeira guerra
no final da primeira guerra o que acabou?	o estado confissional
o estado confissional acabou no final da segunda guerra?	não, foi no final da primeira guerra
estado confissional está para confissão?	sim
segundo o autor e um comentário que ele viu, padres eram como faziam a função de psicólogos antes da primeira guerra mundial?	sim
quem fazia o papel de psicólogos antes da primeira guerra mundial?	segundo o autor desconhecido os padres faziam o papel de psicólogos antes da primeira guerra mundial
os padres tinha papel fundamental no combate a depressão no estado confissional?	segundo o autor sim.
o que acabou com o estado confissional?	não tem essa informação no texto, porém acabou no final a primeira guerra mundial
